# STAR             = Aldebaran
# RA(ICRS, deg)    = 68.980163
# Dec(ICRS, deg)   = 16.509302
# pmRA  (mas/yr)   = 63.4500
# pmDec (mas/yr)   = -188.940
# parallax (mas)   = 48.9400
# Vrad  (km/s)     = 54260.0
# Vtemplate (km/s) = 29617.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2016-11-24T05-29-46_ext.iod        2457716.7291786000  2457716.7356201219      51054.47      54416.48     70.69      2.16   43016.6
s1_2016-11-24T05-30-20_ext.iod        2457716.7295789998  2457716.7360205264      51056.96      54418.28     71.19      2.16   42908.5
s1_2016-11-25T05-37-26_ext.iod        2457717.7345078001  2457717.7409608387      51552.15      54381.21     68.23      1.92   44358.2
s1_2016-11-25T05-38-02_ext.iod        2457717.7349239001  2457717.7413769425      51553.97      54382.35     73.01      2.12   42214.3
s1_2016-11-25T05-38-36_ext.iod        2457717.7353164000  2457717.7417694461      51552.74      54380.48     70.10      2.08   46182.5
s1_2016-11-28T05-57-20_ext.iod        2457720.7483256999  2457720.7548027090      53215.25      54444.64     70.69      2.32   47113.3
s1_2016-11-28T05-57-56_ext.iod        2457720.7487459001  2457720.7552229105      53213.64      54442.48     70.04      2.21   46428.3
s1_2016-11-28T05-58-30_ext.iod        2457720.7491382002  2457720.7556152125      53214.15      54442.48     70.02      2.28   47585.9
s1_2016-11-29T02-45-40_ext.iod        2457721.6152312998  2457721.6217123903      53432.04      54416.74     72.42      2.37   39534.5
s1_2016-11-29T02-46-15_ext.iod        2457721.6156262001  2457721.6221072921      53434.02      54417.62     67.64      2.18   58697.4
s1_2016-11-29T02-46-49_ext.iod        2457721.6160219000  2457721.6225029929      53433.17      54415.66     67.66      2.18   50204.3
s1_2016-11-30T02-40-17_ext.iod        2457722.6114882999  2457722.6179723116      53995.40      54457.79     73.34      2.46   20982.9
s1_2016-11-30T02-40-51_ext.iod        2457722.6118824999  2457722.6183665120      53992.08      54453.37     75.81      2.61   22954.9
s1_2016-11-30T02-41-26_ext.iod        2457722.6122821998  2457722.6187662124      53997.41      54457.59     72.61      2.32   22574.2
s1_2016-12-04T02-47-50_ext.iod        2457726.6167259002  2457726.6232040408      56101.98      54418.10     71.61      2.52   38067.3
s1_2016-12-04T02-48-24_ext.iod        2457726.6171252001  2457726.6236033384      56102.54      54417.59     72.15      2.36   36321.1
s1_2016-12-04T02-48-58_ext.iod        2457726.6175203999  2457726.6239985358      56103.48      54417.47     76.88      2.52   34805.8
s1_2016-12-05T02-24-39_ext.iod        2457727.6006302000  2457727.6071025971      56661.50      54489.54     70.67      2.26   56320.0
s1_2016-12-05T02-25-13_ext.iod        2457727.6010262002  2457727.6074985946      56662.20      54489.14     69.34      2.25   54292.6
s1_2016-12-05T02-25-48_ext.iod        2457727.6014315002  2457727.6079038917      56665.14      54490.96     72.69      2.39   58942.6
s1_2016-12-06T02-23-02_ext.iod        2457728.5995073998  2457728.6059722216      57189.17      54489.15     69.23      2.19   39072.4
s1_2016-12-06T02-23-37_ext.iod        2457728.5999115999  2457728.6063764184      57191.10      54489.96     72.52      2.30   52052.8
s1_2016-12-06T02-24-11_ext.iod        2457728.6003069002  2457728.6067717150      57191.32      54489.10     73.41      2.49   50463.9
s1_2016-12-07T02-22-01_ext.iod        2457729.5988016999  2457729.6052571968      57737.06      54509.02     75.97      2.48   49178.0
s1_2016-12-07T02-22-35_ext.iod        2457729.5991966999  2457729.6056521926      57738.11      54508.99     71.45      2.24   52646.2
s1_2016-12-07T02-23-11_ext.iod        2457729.5996117000  2457729.6060671881      57737.25      54506.98     76.76      2.37   47919.0
s1_2016-12-08T02-29-54_ext.iod        2457730.6042762999  2457730.6107206517      58291.01      54519.65     70.20      2.22   37359.0
s1_2016-12-08T02-30-28_ext.iod        2457730.6046747002  2457730.6111190468      58290.62      54518.18     70.88      2.17   44048.2
s1_2016-12-08T02-31-02_ext.iod        2457730.6050685998  2457730.6115129418      58290.55      54517.06     70.08      2.12   44481.4
s1_2016-12-09T02-30-42_ext.iod        2457731.6048293998  2457731.6112609180      58766.95      54467.38     70.43      2.26   56930.5
s1_2016-12-09T02-31-17_ext.iod        2457731.6052345000  2457731.6116660126      58767.87      54467.22     63.35      2.11   47838.7
s1_2016-12-09T02-31-51_ext.iod        2457731.6056325999  2457731.6120641064      58767.89      54466.18     65.08      2.04   47265.5
s1_2016-12-10T02-42-46_ext.iod        2457732.6132155000  2457732.6196323219      59259.13      54412.86     67.97      2.50   48209.0
s1_2016-12-10T02-43-20_ext.iod        2457732.6136099999  2457732.6200268157      59260.32      54413.04     69.56      2.41   49034.4
s1_2016-12-10T02-43-55_ext.iod        2457732.6140116001  2457732.6204284094      59262.92      54414.61     69.44      2.47   49138.0
s1_2016-12-11T02-31-20_ext.iod        2457733.6052766000  2457733.6116772606      59789.59      54440.99     71.92      2.29   48671.4
s1_2016-12-11T02-31-55_ext.iod        2457733.6056746999  2457733.6120753530      59792.99      54443.36     71.65      2.36   51175.5
s1_2016-12-11T02-32-29_ext.iod        2457733.6060676998  2457733.6124683460      59791.92      54441.26     67.75      2.24   51225.7
s1_2016-12-14T02-30-29_ext.iod        2457736.6046782001  2457736.6110196994      61345.84      54441.37     70.31      2.14   64844.1
s1_2016-12-14T02-31-03_ext.iod        2457736.6050772001  2457736.6114186901      61346.83      54441.34     65.07      1.87   55047.8
s1_2016-12-14T02-31-37_ext.iod        2457736.6054696999  2457736.6118111811      61346.41      54439.93     69.49      2.15   63638.4
